city,study_year,reporting_year,scope_1_emissions,scope_1_units,emissions_year,gases_included,change_from_last_year,scope_2_emissions,total_scope_2_emissions,s1_lower_bound,s1_upper_bound,s1_mean,tot_lower_bound,tot_upper_bound,tot_mean,scope_fractions,CO2_emissions_per_capita,lat_long,latitude,longitude,country,region,population,population_year,population_1950,population_1990,population_2010,growth_rate_1950_2010,growth_rate_1990_2010,city_area,population_density,average_altitude_m,average_annual_temperature_celcius,gdp,gdp_unit,income_per_capita,gdp-ppp,ngdp,ngdp_capita_usd,total_consumption_capita,CO2_energy_capita,diesel_price_usd,gas_price_usd,percent_urban,Water bounded (GEA+),Other bounded (GEA+),mean_travel_time_minutes,deisel_price_2014_usd,gas_price_2014_usd,household_size,congestion_rank,peak_hours_spent_in_congestion,average_congestion_rate,congestion_rank,congestion_level,congestion_change,morning_peak,evening_peak,economy_rank,environment_rank,governance_rank_iese,human_capital_rank_iese,international_impact_rank,mobility_and_transport_rank_iese,public_management_rank_iese,social_cohesion_rank_iese,technology_rank_iese,urban_planning_rank_iese,exports, ,natgas_export_production_ratio,ch4_waste_capita,ch4_waste_plus_natgas_capita
Auckland,,2016,9133523,tCO2-eq,2013,CO2; CH4; N2O,Increased,1338632,10472155,8102073.118,8550047.167,8326060.142,9440705.118,9888679.167,9664692.142,1,,"(-36.815328, 174.741788)",-36.841,174.74,New Zealand,Oceania,1570000,2016,,,,,,4893,,79,15.3,81186000,NZD     New Zealand Dollar,,49.52,45,33358.04299,,,,,,,,40.91836735,1.11,1.71,3,,,,40,0.38,0.05,68%,81%,30,100,4,124,76,85,41,40,44,82,0,1,0,0.013273726,0.023464868
Johannesburg,,2016,9068358,tCO2-eq,2014,CO2; CH4; N2O,Decreased,15661031,24716713,7205878.222,7436752.977,7321315.599,22854233.22,23085107.98,22969670.6,1.000512851,,"(-26.2041028, 28.0473051)",-26.204,28.045556,South Africa,Africa,4434827,2011,,,,,,1644.98,2179.715616,1645,20,3.37E+11,ZAR     South African Rand,,82.918,45,11958.54372,37,,0.95,0.87,59.256,0,Mountains,45.66,1.17,1.19,3.37,44,47,8.50%,70,0.3,0.03,62%,60%,154,150,94,146,150,153,46,169,108,149,0,1,0,0.012230678,0.013961338
Warsaw,,2016,7930452,tCO2,2014,CO2,Decreased,3791322,11721774,,,,,,,1,,"(52.2296756, 21.0122287)",52.233,21.016667,Poland,Europe,1730000,2016,,,,,,517,,103,8,30041,,,141.096,82,25434.24318,,,,,,,,37.64,1.39,1.42,2.2,115,35,12.40%,42,0.37,-0.01,65%,72%,95,16,93,59,83,41,142,29,70,6,45000000,6193000000,0.01,0.01068738,0.014901976
Cleveland,,2016,7750563,tCO2-eq,2010,CO2; CH4; N2O,This is our first year of calculation,4139032,11889595,7354298.991,7553912.8,7454105.896,11493330.99,11692944.8,11593137.9,1,,"(41.49932, -81.6943605)",41.482,-81.669722,USA,North America,385809,2016,,,,,,201.242223,,199,10.4,,,,115.142,98,47183.43765,,,,,,,,24.2,0.97,0.86,2.26,405,19,4.50%,183,0.12,0.01,18%,27%,,,,,,,,,,,42870000000,7.66E+11,0.06,0.017698982,0.036729479
Brasília,,2016,7739830,tCO2-eq,2012,CO2; CH4; N2O; HFCs; PFCs; SF6,Increased,,7739830,7077555.549,7143018.163,7110286.856,7077555.549,7143018.163,7110286.856,,,"(-15.794229, -47.882166)",-15.79,-47.88,Brazil,Latin America & Caribbean,2977216,2016,,,,,,5802,,1172,21,171235,BRL     Brazilian Real,,141.916,101.6,27326.51963,,,1.45,1.68,82.834,0,,,1.02,1.27,3.300392367,209,27,10.70%,141,0.2,0.01,35%,50%,162,143,139,142,121,113,58,137,159,127,11700000000,17030000000,0.69,0.015120343,0.020419478
"Jinan, Shandong",,,7731542.72,tCO2,2010,,,,,,,,,,,,1.76,,36.66666667,116.9833333,China,East Asia,4693700,,,,,,,3304,737.8622967,,,,,41025.84,0.00176,43.2,9963.099631,80.13186154,,1.01,0.99,42.522,0,Mountains,,1.09,1.17,,,,,,,,,,,,,,,,,,,,,,,,
Nagoya,,2016,7690000,tCO2-eq,2013,CO2; CH4; N2O; HFCs; PFCs; SF6,Decreased,5730000,13420000,7506123.401,7529624.579,7517873.99,13236123.4,13259624.58,13247873.99,1,,"(35.181446, 136.906398)",35.183,136.9,Japan,East Asia,2215062,2015,,,,,,326.45,,18.3,16.1,1.18E+13,JPY     Japanese yen,,363.751,444,49653.3214,,,,,,,,30.7,1.1,1.38,2.17,,,,,,,,,51,38,113,14,147,100,64,32,155,128,0,1,0,0.002518209,0.002887223
Kyoto,,,7684000,tCO2-eq,2011,,,,,,,,,,,,,,35.011636,135.768029,Japan,East Asia,1474811,2015,,,,,,827.83,1775.57676,179.7,,,,,,,,72.50038095,,1.3,1.42,85.978,0,"Mountains, near lake",28.6,1.1,1.38,2.09,,,,,,,,,,,,,,,,,,,,,,,
Jaipur,,,7610894,tCO2-eq,2010,,,,,,,,,,,,,,26.926,75.8235,India,South Asia,3046189,2011,,,,,,484.64,,,,,,,24,6,2008032.129,,,,,,,,,0.91,1.1,,,,,,,,,,,,,,,,,,,,,,,,
Zhengzhou,,,7303971.185,tCO2,2010,,,,,,,,,,,,1.333451,,34.76666667,113.65,China,East Asia,6406000,,,,,,,1024,1100,,,,,35794.33,0.001333451,26,6111.894687,64.53044691,,1.01,0.99,42.522,0,,,1.09,1.17,,,,,,,,,,,,,,,,,,,,,,,,
San Antonio,,2016,7214051,tCO2-eq,2013,CO2; CH4; N2O,,8520711,15734762,5815994.948,6520250.917,6168122.933,14336705.95,15040961.92,14688833.93,1,,"(29.4241, -98.4936)",29.417,-98.5,USA,North America,1492510,2016,,,,,,1193.804091,,787,27,93198982910,USD     US Dollar,,102.771,85,39516.50395,,,,,,,,23.7,0.97,0.86,2.85,204,27,6.10%,143,0.2,0.02,35%,50%,,,,,,,,,,,42870000000,7.66E+11,0.06,0.017698982,0.036729479
Lyon,,,7191700,tCO2-eq,2010,,,,,,,,,,,,,,45.7454,4.84195,France,Europe,1354476,2014,,,,,,533.68,1327.91792,,,,,,,87.80433,45554.70757,135.85,,1.45,1.52,81.555,0,"River, Mountains",,1.63,1.79,,186,29,8.40%,87,0.29,0.03,55%,55%,,,,,,,,,,,,,,,
Fuzhou,,,7188866.091,tCO2,2010,,,,,,,,,,,,1.63083987,,26.07611111,119.3063889,China,East Asia,4468076,,,,,,,,511.3985382,,,,,38012.8,0.00163084,23.4,8068.965517,37.88314157,,1.01,0.99,42.522,1,,,1.09,1.17,,,,,31,0.39,0.02,60%,76%,,,,,,,,,,,,,,,
Wuhan,,,7164450.65,tCO2,2010,,,,,,,,,,,,0.95,,30.58333333,114.2833333,China,East Asia,10607700,,,,,,,8494.41,1200,,,,,40806.05,0.00095,82.2,8400.613183,75.63830571,,1.01,0.99,42.522,0,Large River,,1.09,1.17,,,,,50,0.35,0.01,54%,67%,124,159,136,53,84,14,175,99,41,126,,,,,
Yilan,,2016,6911264.55,tCO2-eq,2013,CO2; CH4; N2O; HFCs; PFCs; SF6; NF3,Stayed the same,1269292.14,8180556.68,6719546.095,6745279.637,6732412.866,7988838.225,8014571.767,8001704.996,1.000000001,,"(24.702107, 121.73775)",24.751,121.759167,Taiwan,East Asia,458777,2014,,,,,,2143.6251,,20,22.3,,,,,,,,,,,,,,,0.98,0.98,2.88,,,,,,,,,,,,,,,,,,,0,1,0,0.012921381,0.014924653
Madrid,,2016,6795577,tCO2-eq,2013,CO2; CH4; N2O; HFCs; PFCs; SF6,Decreased,3250803,10257048,5550192.468,5644411.403,5597301.935,9011663.468,9105882.403,9058772.935,0.979461147,,"(40.1076253, -3.3875673)",40.383,-3.716667,Spain,Europe,3207247,2013,,,,,,605.77,5390,655,15,125948386,EUR     Euro,,262.335,259,40348.96401,74.78810572,,1.28,1.23,76.701,0,,31.21,1.55,1.63,2.5,80,40,12.70%,112,0.25,0.02,48%,43%,57,52,48,43,15,6,50,66,59,31,0,1,0,0.01302459,0.014090608
Nashville and Davidson,,2017,6680194,tCO2-eq,2014,CO2; CH4; N2O,Increased,5801169,12481363,6002247.661,6343755.968,6173001.815,11803416.66,12144924.97,11974170.81,1,,"(36.1627, -86.7816)",36.155,-86.761944,USA,North America,660388,2016,,,,,,1230.581949,,182,15.1,1.07E+11,USD     US Dollar,,94.968,73,45710.70758,,,,,,,,24.1,0.97,0.86,2.4,126,34,11.40%,122,0.23,0.01,41%,62%,,,,,,,,,,,42870000000,7.66E+11,0.06,0.017698982,0.036729479
Sendai,,,6573042,tCO2-eq,2011,,,,,,,,,,,,,,38.2681,140.87,Japan,East Asia,1025126,2017,,,,,,786.3,,105.5,,,,,75.317,52.09355,,,,,,,,,28.5,1.1,1.38,2.18,,,,,,,,,,,,,,,,,,,,,,,
Wuxi,,,6571992.247,tCO2,2010,,,,,,,,,,,,1.466339688,,31.56666667,120.3,China,East Asia,3542319,,,,,,,,,,,,,49705.69,0,47,13269.33936,,,,,,,,,1.09,1.17,,,,,118,0.24,0.02,38%,50%,,,,,,,,,,,,,,,
Ningbo,,,6563188.427,tCO2,2010,,,,,,,,,,,,1.263327001,,29.86666667,121.55,China,East Asia,3491597,,,,,,,2461.8,570.9555827,,,,,46353.97,0.001263327,45,12886.59794,72.18818633,,1.01,0.99,42.522,1,,,1.09,1.17,,,,,51,0.34,0.04,58%,69%,,,,,,,,,,,,,,,
Shijiazhuang,,,6524736.364,tCO2,2010,,,,,,,,,,,,1.268137551,,38.06666667,114.4833333,China,East Asia,4303700,,,,,,,15848,597.5702837,,,,,33339.28,0.001268138,18,6289.308176,69.40756676,,1.01,0.99,42.522,0,Mountains,,1.09,1.17,,,,,18,0.42,0.06,70%,84%,,,,,,,,,,,,,,,
Taipei City,,2016,6493593,tCO2-eq,2014,CO2; CH4; N2O,Increased,8463811,14957404,5363279.158,5514996.315,5439137.736,13827090.16,13978807.31,13902948.74,1,,"(25.037525, 121.563782)",25.033,121.633333,Taiwan,East Asia,2704974,2016,,,,,,271.8,,60,23,,,,327.295,160.3,23549.2875,,,0.69,0.64,71.335,1,,35.28,0.98,0.98,2.63,,,,24,0.4,0.02,59%,80%,90,157,44,28,29,99,26,42,1,131,0,1,0,0.012921381,0.014924653
Austin,2005,2016,6439000,tCO2-eq,2013,CO2; CH4; N2O; PFCs,Decreased,7261000,13700000,5552029.302,5998831.422,5775430.362,12813029.3,13259831.42,13036430.36,1,,"(30.2672, -97.7431)",30.267,-97.733333,USA,North America,947890,2016,137000,569000,1266000,1.037755919,1.040797096,771.558021,1092.07,149,20,,,,107.364,81,46605.29344,147.6526846,15.4,0.78,0.56,80.731,0,,23.4,0.97,0.86,2.47,42,47,11.90%,115,0.25,0.03,39%,59%,,,,,,,,,,,42870000000,7.66E+11,0.06,0.017698982,0.036729479
"Hamilton, ON",,2016,6304593,tCO2-eq,2012,CO2; CH4,Decreased,10164690,16469283,5234631.067,5622371.954,5428501.511,15399321.07,15787061.95,15593191.51,1,,"(43.250021, -79.866091)",43.25,-79.866667,Canada,North America,536917,2001,,,,,,1138.11,,75,8.2,22228328,CAD     Canadian Dollar,,,32,43243.24324,,,,,,,,26.9,1.16,1.17,3,465,16,7.50%,- ,0.18,0.02,29%,40%,,,,,,,,,,,77960000000,1.52E+11,0.51,0.046860437,0.101727514
New Taipei,,2016,6149934,tCO2-eq,2014,CO2; CH4; N2O; HFCs; PFCs; SF6,Increased,11083990,17233924,4492239.266,4714744.487,4603491.877,15576229.27,15798734.49,15687481.88,1,,"(25.0111, 121.4458)",25.011,121.445833,Taiwan,East Asia,3972204,2016,,,,,,2052.57,,10,21,5.30E+11,USD     US Dollar,,,,,,,,,,,,,0.98,0.98,2.7,,,,,,,,,,,,,,,,,,,0,1,0,0.012921381,0.014924653
Tangshan,,,5782654.868,tCO2,2010,,,,,,,,,,,,1.501608,,39.62305556,118.1761111,China,East Asia,3187171,,,,,,,3874,,,,,,41297.75,0.001501608,33.6,11067.19368,,,,,,,,,1.09,1.17,,,,,,,,,,,,,,,,,,,,,,,,
Linyi,,,5723315.622,tCO2,2010,,,,,,,,,,,,1.2654,,35.05,118.35,China,East Asia,2303648,,,,,,,2293.3,,,,,,35454.96,,,,,,,,,,,,1.09,1.17,,,,,,,,,,,,,,,,,,,,,,,,
Xuzhou,,,5618198.844,tCO2,2010,,,,,,,,,,,,1.231656,,34.26666667,117.2166667,China,East Asia,3053778,,,,,,,3037,,,,,,40172.96,0.001231656,22.4,7334.643091,,,,,,,,,1.09,1.17,,,,,,,,,,,,,,,,,,,,,,,,
Bangalore,,,5568706.7,tCO2-eq,2008,,,,,,,,,,,,,,12.97029,77.596152,India,South Asia,12339447,2017,,,,,,709,7600,,,,,,45.313,29,3550.875474,10.95399516,,0.7,1.09,29.235,0,,,0.91,1.1,,,,,,,,,,166,175,126,161,143,128,167,104,137,170,,,,,
Detroit,,2016,5520240,tCO2-eq,2012,CO2; CH4; N2O,Stayed the same,4809082,10329322,4832495.285,5178939.421,5005717.353,9641577.285,9988021.421,9814799.353,1,,"(42.331427, -83.0457538)",42.331,-83.045833,USA,North America,672795,2016,,,,,,359.3611125,,192,9,1.86E+11,USD     US Dollar,,207.538,179,41618.22832,,,,,,,,26.8,0.97,0.86,2.65,128,33,6.10%,169,0.16,0.01,23%,41%,,,,,,,,,,,42870000000,7.66E+11,0.06,0.017698982,0.036729479
Ürümqi (Wulumqi),,,5489128.316,tCO2,2010,,,,,,,,,,,,1.915662,,43.825,87.6,China,East Asia,3519600,2017,,,,,,14577,210,,,,,41207.99,,20,6602.839221,110.2668608,,1.01,0.99,42.522,0,Mountains,,1.09,1.17,,,,,,,,,,,,,,,,,,,,,,,,
Columbus,,2016,5487400,tCO2-eq,2015,CO2; CH4; N2O,Decreased,5496200,10983600,4652603.755,5073123.546,4862863.65,10148803.76,10569323.55,10359063.65,1,,"(39.9611755, -82.9987942)",39.983,-82.983333,USA,North America,860090,2016,,,,,,562.4681283,,275,11.6,1.08E+11,USD     US Dollar,,108.904,89,48264.64208,,,,,,,,21.4,0.97,0.86,2.4,318,22,5.70%,164,0.16,0.01,26%,45%,,,,,,,,,,,42870000000,7.66E+11,0.06,0.017698982,0.036729479
Santiago de Guayaquil,,2016,5429899,tCO2-eq,2014,CO2; CH4; N2O,This is our first year of calculation,1357475,6787374,4438265.584,5073497.108,4755881.346,5795740.584,6430972.108,6113356.346,1,,"(-2.170998, -79.922359)",-2.183,-79.883333,Ecuador,Latin America & Caribbean,3500000,2014,,,,,,344.5,,,26,5862,,,,,,,,,,,,,,0.29,0.6,,133,33,12.20%,,,,,,,,,,,,,,,,0,240000000,0,0.005414334,0.015064551
Gandhinagar,,,5424749,tCO2-eq,2011,,,,,,,,,,,,,,23.22,72.68,India,South Asia,292167,2011,,,,,,177,,,,,,,,0.408715912,,,,,,,,,,0.91,1.1,,,,,,,,,,,,,,,,,,,,,,,,
Coimbatore,,,5316666,tCO2-eq,2015,,,,,,,,,,,,,,11,76.9558,India,South Asia,1601438,2011,,,,,,246.75,,,,,,,,5,2415458.937,,,,,,,,,0.91,1.1,,,,,,,,,,,,,,,,,,,,,,,,
Winnipeg,,2016,5167453,tCO2-eq,1998,CO2; CH4; N2O,Decreased,89872,5257325,3689114.447,4224845.938,3956980.192,3778986.447,4314717.938,4046852.192,1,,"(49.8997541, -97.1374937)",49.899,-97.139167,Canada,North America,705244,2016,,,,,,464.08,,230,2.4,35000000000,CAD     Canadian Dollar,,32.478,32,42440.3183,,,,,,,,23.3,1.16,1.17,2.9,647,12,4.30%,- ,0.24,0.02,35%,47%,,,,,,,,,,,77960000000,1.52E+11,0.51,0.046860437,0.101727514
Seattle,2005,2016,5150000,tCO2-eq,2012,CO2; CH4; SF6,Decreased,72000,5222000,4488519.765,4821733.447,4655126.606,4560519.765,4893733.447,4727126.606,1,,"(47.6062095, -122.3320708)",47.61,-122.333056,USA,North America,704352,2016,795000,2206000,3298000,1.023995525,1.020310268,217.4037606,2858,15,11,3.01E+11,USD     US Dollar,,267.473,211,61177.1528,154.1960171,13.5,0.78,0.56,80.731,1,,27.6,0.97,0.86,2.12,23,55,12.60%,53,0.34,0.03,54%,77%,,,,,,,,,,,42870000000,7.66E+11,0.06,0.017698982,0.036729479
Hefei,,,5131200.36,tCO2,2010,,,,,,,,,,,,1.32,,31.86666667,117.2833333,China,East Asia,5670000,,,,,,,838.5,668.3993695,,,,,40652.46,0.00132,31.2,9307.875895,47.47912001,,1.01,0.99,42.522,0,Near a lake,,1.09,1.17,,,,,,,,,,,,,,,,,,,,,,,,
Changchun,,,5029058.467,tCO2,2010,,,,,,,,,,,,1.18104,,43.88694444,125.3247222,China,East Asia,4193073,,,,,,,4738,360.0526008,,,,,38863.14,0.00118104,35,8955.987718,68.70473444,,1.01,0.99,42.522,0,,,1.09,1.17,,,,,45,0.36,0.03,64%,72%,,,,,,,,,,,,,,,
Nelson Mandela,,,4986052,tCO2-eq,2012,,,,,,,,,,,,,,-33,25,South Africa,Africa,1152115,2011,,,,,,1959,517.5513017,,,,,,,,,30,,0.95,0.87,59.256,1,,,1.17,1.19,,,,,,,,,,,,,,,,,,,,,,,,
Pune,,,4661066,tCO2-eq,2011,,,,,,,,,,,,,,18.5203,73.8567,India,South Asia,3124458,2011,,,,,,243.84,,,,,,,48,19,3875178.462,,,,,,,,,0.91,1.1,,,,,,,,,,,,,,,,,,,,,,,,
Quito,,2016,4653611,tCO2-eq,2011,CO2; CH4; N2O,Decreased,579739,5233350,3709103.597,4314146.617,4011625.107,4288842.597,4893885.617,4591364.107,1,,"(-0.2333, -78.5167)",-0.217,-78.516667,Ecuador,Latin America & Caribbean,2550000,2016,,,,,,4232,,2815,22,15100000000,USD     US Dollar,,,,,,,,,,,,28.95,0.29,0.6,,,,,,,,,,107,86,171,135,120,96,38,118,160,161,0,240000000,0,0.005414334,0.015064551
Pretoria Tshwane,,2016,4648959,tCO2-eq,2015,CO2; CH4; N2O,Increased,10589996,15236693,3398023.088,3553090.287,3475556.688,13985757.09,14140824.29,14063290.69,1.000148457,,"(-25.746111, 28.188056)",-25.667,28.333333,South Africa,Africa,3200000,2016,,,,,,6298,460,1339,17,2739000000,ZAR     South African Rand,,49.948,34,23160.76294,55,,0.95,0.87,59.256,0,,51.45,1.17,1.19,3.4,191,28,7.30%,- ,0.26,0.03,56%,51%,165,140,158,114,175,179,44,114,173,154,0,1,0,0.012230678,0.013961338
"Portland, OR",2005,2016,4610317,tCO2-eq,2014,CO2; CH4; N2O,Decreased,2364227,6974544,3991817.003,4303379.843,4147598.423,6356044.003,6667606.843,6511825.423,1,,"(45.52, -122.6819)",45.52,-122.681944,USA,North America,639863,2016,516000,1181000,2025000,1.023048577,1.027327128,345.5823657,1689,77,12.5,1.64E+11,USD     US Dollar,,158.544,155.23932,66772.15601,114.3884394,12.26,0.78,0.56,80.731,0,Major River Junction,25.1,0.97,0.86,2.34,40,47,10.40%,82,0.29,0.03,41%,66%,,,,,,,,,,,42870000000,7.66E+11,0.06,0.017698982,0.036729479
Denver,2005,2016,4557000,tCO2-eq,2014,CO2; CH4; N2O,Decreased,4385000,8942000,3894059.795,4228008.921,4061034.358,8279059.795,8613008.921,8446034.358,1,,"(39.737567, -104.9847179)",39.762,-104.881105,USA,North America,693060,2016,505000,1528000,2492000,1.026961772,1.024757804,396.26847,1444.664839,1609,10.1,1.87E+11,USD     US Dollar,,169.737,142,55425.44887,221.4957092,17.69,0.78,0.56,80.731,0,Mountains,24.8,0.97,0.86,2.3,107,36,8.30%,136,0.2,-0.01,33%,44%,,,,,,,,,,,42870000000,7.66E+11,0.06,0.017698982,0.036729479
Yantai,,,4531203.033,tCO2,2010,,,,,,,,,,,,1.176500395,,37.535,121.3891667,China,East Asia,2227733,,,,,,,,,,,,,37765.78,0.0011765,27,12118.49192,,,,,,,,,1.09,1.17,,,,,,,,,,,,,,,,,,,,,,,,
Toluca de Lerdo,,,4378317,tCO2-eq,2010,,,,,,,,,,,,,,19.28261,-99.655665,Mexico,Latin America & Caribbean,873536,2015,,,,,,452.37,,,,,,,,12,6500541.712,,,,,,,,,1.02,1.03,,497,16,6.70%,,,,,,,,,,,,,,,,,,,,
Weifang,,,4319059.231,tCO2,2010,,,,,,,,,,,,1.01232,,36.71666667,119.1,China,East Asia,2044028,,,,,,,2646.1,,,,,,35954.39,,12,5870.841487,,,,,,,,,1.09,1.17,,,,,,,,,,,,,,,,,,,,,,,,
San Francisco,,2016,4186111,tCO2-eq,2012,CO2; CH4; N2O,Other,1131352,5381687,3322495.827,3757532.848,3540014.338,4518071.827,4953108.848,4735590.338,0.988066196,,"(37.7749295, -122.4194155)",37.783,-122.416667,USA,North America,870887,2016,,,,,,121.3928313,,142,10.4,89205219000,USD     US Dollar,,331.024,283.3,65156.39374,,,0.78,0.56,80.731,,,29.15,0.97,0.86,2.32,4,83,12.80%,30,0.39,0.03,55%,73%,2,58,20,9,45,23,12,100,16,24,42870000000,7.66E+11,0.06,0.017698982,0.036729479
Changzhou,,,4131838.878,tCO2,2010,,,,,,,,,,,,1.424295624,,31.78333333,119.9666667,China,East Asia,3290918,,,,,,,1872.1,,,,,,47798.85,0.001424296,34,10331.20632,,,,,,,,,1.09,1.17,,,,,,,,,,,,,,,,,,,,,,,,
Thane,,,4077107,tCO2-eq,2013,,,,,,,,,,,,,,19.1724,72.957,India,South Asia,1886941,2011,,,,,,147,,,,,,,,3.702479663,,,,,,,,,,0.91,1.1,,,,,,,,,,,,,,,,,,,,,,,,
Baltimore,,2017,4019044,tCO2-eq,2014,CO2; CH4; N2O,Increased,3211447,7230497,3405233.482,3714434.047,3559833.765,6616686.482,6925887.047,6771286.765,1,,"(39.2903848, -76.6121893)",39.283,-76.616667,USA,North America,614664,2016,,,,,,209.6337906,,240,14.7,4.37E+13,USD     US Dollar,,173.747,145,53406.99816,,,,,,,,30.5,0.97,0.86,2.47,218,26,6.90%,145,0.19,0.01,33%,46%,16,125,19,16,74,63,3,98,3,13,42870000000,7.66E+11,0.06,0.017698982,0.036729479
"Changsha, Hunan",,,3955711.94,tCO2,2010,,,,,,,,,,,,0.83,,28.19611111,112.9722222,China,East Asia,5288800,,,,,,,1917,533.8861156,,,,,40156.9,0.00083,40.3,13025.21008,59.61272993,,1.01,0.99,42.522,0,"Mountains, River",,1.09,1.17,,,,,11,0.45,0.08,70%,82%,,,,,,,,,,,,,,,
Daqing,,,3884885.609,tCO2,2010,,,,,,,,,,,,2.103472,,46.58333333,125,China,East Asia,1649825,,,,,,,5107,,,,,,49135.63,0.002103472,39,22272.98686,,,,,,,,,1.09,1.17,,,,,,,,,,,,,,,,,,,,,,,,
Aguascalientes,,,3839803,tCO2-eq,2010,,,,,,,,,,,,,,21.8897,-102.295,Mexico,Latin America & Caribbean,934424,2012,,,,,,385,,,,,,,,,,,,,,,,,,1.02,1.03,,480,16,8.10%,,,,,,,,,,,,,,,,,,,,
Milano,,2016,3728678,tCO2,2013,CO2,,2248100,5976779,,,,,,,0.999999833,,"(45.802578, 9.086356)",45.467,9.183333,Italy,Europe,1350000,2016,,,,,,182,2000,122,15.5,,,,312.108,358,44777.98624,108.3566932,,1.63,1.57,67.588,0,Mountains,26.7,2.01,2.14,1.8,137,33,9.00%,72,0.3,0.01,61%,54%,56,46,79,35,23,15,69,71,61,14,68000000,7800000000,0.01,0.011383131,0.015145862
Addis Ababa,,2016,3708292,tCO2-eq,2012,CO2; CH4; N2O,This is our first year of calculation,,3708292,1983266.673,3298555.814,2640911.243,1983266.673,3298555.814,2640911.243,,,"(9.028874, 38.754366)",9.03,38.74,Ethiopia,Africa,3270000,2016,,,,,,540,,2650,,,ETB     Ethiopian Birr,,12,,,,,,,,,,,0.89,0.99,,,,,,,,,,,,,,,,,,,,0,1,0,0.004323574,0.018202627
Rosario,,,3687016,tCO2-eq,2014,,,,,,,,,,,,,,-32.9442,-60.6505,Argentina,Latin America & Caribbean,1193605,2010,,,,,,178.69,,,,,,,,15,11857707.51,,,,,,,,,1.33,1.52,,,,,,,,,,150,88,127,112,141,115,176,111,141,103,,,,,
Suwon,,2016,3670140,tCO2-eq,2013,CO2; CH4; N2O; HFCs; PFCs; SF6,Increased,2710235,5775155,3132405.924,3296078.618,3214242.271,5237420.924,5401093.618,5319257.271,1.104797187,,"(37.2635727, 127.0286009)",37.267,127.016667,South Korea,East Asia,1170878,2013,,,,,,121.04,,75,13.1,1.24E+13,,,,,,,,,,,,,43.5,1.37,1.55,2.68,,,,,,,,,,,,,,,,,,,0,1,0,0.010932594,0.015716213
Nanning,,,3640328.082,tCO2,2010,,,,,,,,,,,,1.017325129,,22.81666667,108.3166667,China,East Asia,4037000,,,,,,,,300,,,,,39013.88,0.001017325,20,5819.028222,23.27200848,,1.01,0.99,42.522,0,Large River,,1.09,1.17,,,,,,,,,,,,,,,,,,,,,,,,
Boston,,2016,3603270,tCO2-eq,2014,CO2; CH4; N2O,Decreased,2462912,6066182,2958166.993,3283130.819,3120648.906,5421078.993,5746042.819,5583560.906,1,,"(42.3584308, -71.0597732)",42.358,-71.063611,USA,North America,673184,2016,,,,,,125.0447172,,2,10,1.03E+11,USD     US Dollar,,360.11,296,64869.60333,,,,,,,,29.25,0.97,0.86,2.35,18,58,13.40%,97,0.28,0.03,43%,54%,3,120,6,2,69,12,8,76,17,27,42870000000,7.66E+11,0.06,0.017698982,0.036729479
Barcelona,2006,,3595726,tCO2-eq,2012,,,,,,,,,,,,,,41.38506,2.173403,Spain,Europe,1604555,2015,1809000,4101000,5488000,1.018668614,1.014673263,101.4,15756.64377,,,,,,171.032,195,36011.08033,65.71972011,2.3,1.28,1.23,76.701,1,,,1.55,1.63,2.4,124,34,11.70%,68,0.31,0.03,51%,52%,77,84,35,39,4,26,67,72,64,43,,,,,
Atlanta,,2016,3548215,tCO2-eq,2014,CO2; CH4; N2O,Increased,5476020,9024235,3105056.197,3328292.763,3216674.48,8581076.197,8804312.763,8692694.48,1,,"(33.7489954, -84.3879824)",33.755,-84.39,USA,North America,472522,2016,,,,,,344.8571685,,272,16.9,2.60E+11,USD     US Dollar,,294.42,249.7,47024.48211,,,0.78,0.56,80.731,0,,25.5,0.97,0.86,2.25,9,71,10.00%,104,0.27,0.03,45%,65%,,,,,,,,,,,42870000000,7.66E+11,0.06,0.017698982,0.036729479
Zibo,,,3425477.28,tCO2,2010,,,,,,,,,,,,1.197912,,36.78333333,118.05,China,East Asia,3129228,,,,,,,2972,,,,,,35620.91,0,33,10546.50048,,,,,,,,,1.09,1.17,,,,,,,,,,,,,,,,,,,,,,,,
"Taiyuan, Shanxi",,,3380932.833,tCO2,2010,,,,,,,,,,,,0.974897782,,37.86944444,112.5602778,China,East Asia,3212500,,,,,,,1460,600,,,,,39453.99,0.000974898,24,7003.209804,151.4136592,,1.01,0.99,42.522,0,Mountains,,1.09,1.17,,,,,,,,,,,,,,,,,,,,,,,,
Baotou,,,3363195.273,tCO2,2010,,,,,,,,,,,,1.596385,,40.65,109.8333333,China,East Asia,2070801,,,,,,,2662,,,,,,41527.24,0.001596385,31,14783.02337,,,,,,,,,1.09,1.17,,,,,,,,,,,,,,,,,,,,,,,,
Paris,,2016,3359242,tCO2-eq,2014,CO2; CH4; N2O; HFCs; PFCs; SF6; NF3,Decreased,1836421,5195663,2057699.692,2811790.805,2434745.249,3894120.692,4648211.805,4271166.249,1,,"(48.856614, 2.3522219)",48.857,2.3508,France,Europe,2270000,2016,,,,,,105,669.0519942,26,13.6,1.53E+11,EUR     Euro,,715.08,764.2,64702.39607,91.37800627,,1.45,1.52,81.555,0,,33.7,1.63,1.79,1.9,10,65,11.40%,35,0.38,0.02,68%,66%,11,20,42,7,1,5,45,86,25,8,770000000,1566000000,0.49,0.008628779,0.032012112
